Average Domestic Airline Itinerary Fares By Origin City for Q4 2024 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
214,USA,Concord Padgett Regional,Concord,NC,118.38,118.38," 6,582 ",,,,,,,,,,,
215,SWF,New York Stewart International,Newburgh/Poughkeepsie,NY,162.53,162.53," 6,432 ",,,,,,,,,,,
216,MBS,MBS International,Saginaw/Bay City/Midland,MI,557.60,557.60," 6,283 ",,,,,,,,,,,
217,HTS,Tri-State/Milton J. Ferguson Field,Ashland,WV,356.02,356.02," 6,189 ",,,,,,,,,,,
218,MLU,Monroe Regional,Monroe,LA,615.92,615.92," 6,137 ",,,,,,,,,,,
219,GRK,Robert Gray AAF,Killeen,TX,599.81,599.81," 5,882 ",,,,,,,,,,,
220,LBE,Arnold Palmer Regional,Latrobe,PA,157.42,157.42," 5,672 ",,,,,,,,,,,
221,AZO,Kalamazoo/Battle Creek International,Kalamazoo,MI,519.94,519.94," 5,637 ",,,,,,,,,,,
222,HLN,Helena Regional,Helena,MT,595.48,595.48," 5,609 ",,,,,,,,,,,
223,ABI,Abilene Regional,Abilene,TX,598.55,598.55," 5,572 ",,,,,,,,,,,
224,ELM,Elmira/Corning Regional,Elmira/Corning,NY,372.31,372.31," 5,534 ",,,,,,,,,,,
225,CPR,Casper/Natrona County International,Casper,WY,597.59,597.59," 5,500 ",,,,,,,,,,,
226,BET,Bethel Airport,Bethel,AK,452.47,452.47," 5,442 ",,,,,,,,,,,
227,ACK,Nantucket Memorial,Nantucket,MA,395.66,395.66," 5,436 ",,,,,,,,,,,
228,LCH,Lake Charles Regional,Lake Charles,LA,510.68,510.68," 5,431 ",,,,,,,,,,,
229,GFK,Grand Forks International,Grand Forks,ND,497.11,497.11," 5,419 ",,,,,,,,,,,
230,KTN,Ketchikan International,Ketchikan,AK,504.61,504.61," 5,377 ",,,,,,,,,,,
231,CWA,Central Wisconsin,Mosinee,WI,659.95,659.95," 5,375 ",,,,,,,,,,,
231,COU,Columbia Regional,Columbia,MO,623.52,623.52," 5,375 ",,,,,,,,,,,
233,RDD,Redding Regional,Redding,CA,504.76,504.76," 5,149 ",,,,,,,,,,,
234,EWN,Coastal Carolina Regional,New Bern/Morehead/Beaufort,NC,537.55,537.55," 5,024 ",,,,,,,,,,,
235,AEX,Alexandria International,Alexandria,LA,647.03,647.03," 5,014 ",,,,,,,,,,,
236,LYH,Lynchburg Regional/Preston Glenn Field,Lynchburg,VA,571.84,571.84," 4,980 ",,,,,,,,,,,
237,MHK,Manhattan Regional,Manhattan/Ft. Riley,KS,605.31,605.31," 4,941 ",,,,,,,,,,,
238,SUN,Friedman Memorial,Sun Valley/Hailey/Ketchum,ID,660.38,660.38," 4,889 ",,,,,,,,,,,
239,CMI,University of Illinois/Willard,Champaign/Urbana,IL,613.12,613.12," 4,867 ",,,,,,,,,,,
240,RST,Rochester International,Rochester,MN,516.93,516.93," 4,832 ",,,,,,,,,,,
241,VRB,Vero Beach Regional,Vero Beach,FL,180.89,180.89," 4,646 ",,,,,,,,,,,
242,GUM,Guam International,Guam,TT,1559.25,1559.25," 4,466 ",,,,,,,,,,,
243,TOL,Eugene F Kranz Toledo Express,Toledo,OH,161.20,161.20," 4,355 ",,,,,,,,,,,
244,IAG,Niagara Falls International,Niagara Falls,NY,176.22,176.22," 4,190 ",,,,,,,,,,,
245,YUM,Yuma MCAS/Yuma International,Yuma,AZ,647.52,647.52," 4,071 ",,,,,,,,,,,
246,PHF,Newport News/Williamsburg International,Newport News/Williamsburg,VA,521.56,521.56," 3,955 ",,,,,,,,,,,
247,SCK,Stockton Metro,Stockton,CA,134.09,134.09," 3,948 ",,,,,,,,,,,
248,ITH,Ithaca Tompkins International,Ithaca/Cortland,NY,550.99,550.99," 3,911 ",,,,,,,,,,,
249,GRI,Central Nebraska Regional,Grand Island,NE,355.95,355.95," 3,849 ",,,,,,,,,,,
250,PSM,Portsmouth International at Pease,Portsmouth,NH,163.88,163.88," 3,847 ",,,,,,,,,,,
251,SIT,Sitka Rocky Gutierrez,Sitka,AK,471.63,471.63," 3,745 ",,,,,,,,,,,
252,CLL,Easterwood Field,College Station/Bryan,TX,573.00,573.00," 3,669 ",,,,,,,,,,,
253,PUW,Pullman Moscow Regional,Pullman,WA,458.71,458.71," 3,643 ",,,,,,,,,,,
254,HHH,Hilton Head Airport,Hilton Head,SC,476.42,476.42," 3,578 ",,,,,,,,,,,
255,FLG,Flagstaff Pulliam,Flagstaff,AZ,646.94,646.94," 3,507 ",,,,,,,,,,,
256,ADQ,Kodiak Airport,Kodiak,AK,580.50,580.50," 3,500 ",,,,,,,,,,,
257,SPI,Abraham Lincoln Capital,Springfield,IL,263.52,263.52," 3,455 ",,,,,,,,,,,
258,LWS,Lewiston Nez Perce County,Lewiston,ID,504.94,504.94," 3,448 ",,,,,,,,,,,
259,SBY,Salisbury-Ocean City/Wicomico Regional,Salisbury,MD,655.09,655.09," 3,343 ",,,,,,,,,,,
260,TYR,Tyler Pounds Regional,Tyler,TX,610.60,610.60," 3,286 ",,,,,,,,,,,
261,ACT,Waco Regional,Waco,TX,607.15,607.15," 3,244 ",,,,,,,,,,,
262,MVY,Martha's Vineyard Airport,Martha's Vineyard,MA,374.99,374.99," 3,230 ",,,,,,,,,,,
263,FSM,Fort Smith Regional,Fort Smith,AR,687.56,687.56," 3,187 ",,,,,,,,,,,
264,CSG,Columbus Airport,Columbus,GA,596.86,596.86," 3,020 ",,,,,,,,,,,
265,ERI,Erie International/Tom Ridge Field,Erie,PA,499.33,499.33," 2,916 ",,,,,,,,,,,
266,VLD,Valdosta Regional,Valdosta,GA,668.71,668.71," 2,803 ",,,,,,,,,,,
267,HGR,Hagerstown Regional-Richard A. Henson Field,Hagerstown,MD,128.96,128.96," 2,783 ",,,,,,,,,,,
268,SJT,San Angelo Regional/Mathis Field,San Angelo,TX,736.29,736.29," 2,754 ",,,,,,,,,,,
269,ROW,Roswell Air Center,Roswell,NM,552.12,552.12," 2,702 ",,,,,,,,,,,
270,EAT,Pangborn Memorial,Wenatchee,WA,530.60,530.60," 2,587 ",,,,,,,,,,,
271,PGV,Pitt Greenville,Greenville,NC,501.88,501.88," 2,490 ",,,,,,,,,,,
272,YKM,Yakima Air Terminal/McAllister Field,Yakima,WA,546.03,546.03," 2,476 ",,,,,,,,,,,
273,GTR,Golden Triangle Regional,Columbus,MS,680.64,680.64," 2,412 ",,,,,,,,,,,
274,LAW,Lawton-Fort Sill Regional,Lawton/Fort Sill,OK,570.06,570.06," 2,405 ",,,,,,,,,,,
275,TXK,Texarkana Regional-Webb Field,Texarkana,AR,571.85,571.85," 2,325 ",,,,,,,,,,,
276,MQT,Marquette Sawyer Regional,Marquette,MI,615.33,615.33," 2,316 ",,,,,,,,,,,
277,OME,Nome Airport,Nome,AK,615.44,615.44," 2,311 ",,,,,,,,,,,
278,CKB,North Central West Virginia,Clarksburg/Fairmont,WV,279.87,279.87," 2,195 ",,,,,,,,,,,
279,GGG,East Texas Regional,Longview,TX,535.81,535.81," 2,190 ",,,,,,,,,,,
280,BPT,Jack Brooks Regional,Beaumont/Port Arthur,TX,497.75,497.75," 2,120 ",,,,,,,,,,,
281,OTZ,Ralph Wien Memorial,Kotzebue,AK,544.88,544.88," 2,107 ",,,,,,,,,,,
282,SWO,Stillwater Regional,Stillwater,OK,517.11,517.11," 2,029 ",,,,,,,,,,,
283,SLE,McNary Field,Salem,OR,151.54,151.54," 1,979 ",,,,,,,,,,,
284,ALW,Walla Walla Regional,Walla Walla,WA,481.71,481.71," 1,977 ",,,,,,,,,,,
285,DHN,Dothan Regional,Dothan,AL,819.02,819.02," 1,974 ",,,,,,,,,,,
286,PPG,Pago Pago International,Pago Pago,TT,1359.99,1359.99," 1,942 ",,,,,,,,,,,
287,LSE,La Crosse Regional,La Crosse,WI,624.95,624.95," 1,939 ",,,,,,,,,,,
288,SCC,Deadhorse Airport,Deadhorse,AK,559.59,559.59," 1,933 ",,,,,,,,,,,
289,BRW,Wiley Post/Will Rogers Memorial,Barrow,AK,553.94,553.94," 1,914 ",,,,,,,,,,,
290,SPS,Sheppard AFB/Wichita Falls Municipal,Wichita Falls,TX,567.26,567.26," 1,907 ",,,,,,,,,,,
291,BQK,Brunswick Golden Isles,Brunswick,GA,599.97,599.97," 1,856 ",,,,,,,,,,,
292,TWF,Joslin Field - Magic Valley Regional,Twin Falls,ID,787.45,787.45," 1,848 ",,,,,,,,,,,
293,BGM,Greater Binghamton/Edwin A. Link Field,Binghamton,NY,491.00,491.00," 1,769 ",,,,,,,,,,,
294,CYS,Cheyenne Regional/Jerry Olson Field,Cheyenne,WY,567.99,567.99," 1,741 ",,,,,,,,,,,
295,BJI,Bemidji Regional,Bemidji,MN,722.46,722.46," 1,737 ",,,,,,,,,,,
296,STC,St. Cloud Regional,St. Cloud,MN,162.07,162.07," 1,726 ",,,,,,,,,,,
297,GUC,Gunnison-Crested Butte Regional,Gunnison,CO,618.38,618.38," 1,725 ",,,,,,,,,,,
298,ABY,Southwest Georgia Regional,Albany,GA,793.32,793.32," 1,697 ",,,,,,,,,,,
299,CIU,Chippewa County International,Sault Ste. Marie,MI,722.44,722.44," 1,670 ",,,,,,,,,,,
300,GCC,Northeast Wyoming Regional,Gillette,WY,673.41,673.41," 1,653 ",,,,,,,,,,,
301,COD,Yellowstone Regional,Cody,WY,712.52,712.52," 1,631 ",,,,,,,,,,,
302,GCK,Garden City Regional,Garden City,KS,569.68,569.68," 1,613 ",,,,,,,,,,,
303,FLO,Florence Regional,Florence,SC,525.77,525.77," 1,496 ",,,,,,,,,,,
304,SHR,Sheridan County,Sheridan,WY,670.63,670.63," 1,488 ",,,,,,,,,,,
305,ART,Watertown International,Watertown,NY,439.47,439.47," 1,484 ",,,,,,,,,,,
306,HOB,Lea County Regional,Hobbs,NM,475.45,475.45," 1,481 ",,,,,,,,,,,
307,DIK,Dickinson - Theodore Roosevelt Regional,Dickinson,ND,569.86,569.86," 1,442 ",,,,,,,,,,,
308,RHI,Rhinelander/Oneida County,Rhinelander,WI,769.65,769.65," 1,431 ",,,,,,,,,,,
309,PLN,Pellston Regional Airport of Emmet County,Pellston,MI,756.35,756.35," 1,430 ",,,,,,,,,,,
310,ABR,Aberdeen Regional,Aberdeen,SD,746.18,746.18," 1,417 ",,,,,,,,,,,
311,PIH,Pocatello Regional,Pocatello,ID,780.99,780.99," 1,386 ",,,,,,,,,,,
312,DLG,Dillingham Airport,Dillingham,AK,556.66,556.66," 1,385 ",,,,,,,,,,,
313,LAL,Lakeland Linder International,Lakeland,FL,138.17,138.17," 1,361 ",,,,,,,,,,,
314,SPN,Francisco C. Ada Saipan International,Saipan,TT,514.08,514.08," 1,357 ",,,,,,,,,,,
315,PQI,Presque Isle International,Presque Isle/Houlton,ME,252.03,252.03," 1,349 ",,,,,,,,,,,
316,SBD,San Bernardino International,San Bernardino,CA,118.08,118.08," 1,217 ",,,,,,,,,,,
317,EAU,Chippewa Valley Regional,Eau Claire,WI,229.73,229.73," 1,210 ",,,,,,,,,,,
318,RKS,Southwest Wyoming Regional,Rock Springs,WY,539.69,539.69," 1,198 ",,,,,,,,,,,
319,IMT,Ford,Iron Mountain/Kingsfd,MI,619.71,619.71," 1,197 ",,,,,,,,,,,
320,RIW,Central Wyoming Regional,Riverton/Lander,WY,567.27,567.27," 1,179 ",,,,,,,,,,,
321,OGD,Ogden-Hinckley,Ogden,UT,143.06,143.06," 1,155 ",,,,,,,,,,,
322,CMX,Houghton County Memorial,Hancock/Houghton,MI,620.93,620.93," 1,092 ",,,,,,,,,,,
323,SUX,Sioux Gateway Brig Gen Bud Day Field,Sioux City,IA,493.50,493.50," 1,055 ",,,,,,,,,,,
324,PSG,Petersburg James A Johnson,Petersburg,AK,475.21,475.21," 1,000 ",,,,,,,,,,,
325,BRD,Brainerd Lakes Regional,Brainerd,MN,676.99,676.99, 964 ,,,,,,,,,,,
326,LAR,Laramie Regional,Laramie,WY,499.22,499.22, 961 ,,,,,,,,,,,
327,AKN,King Salmon Airport,King Salmon,AK,516.01,516.01, 959 ,,,,,,,,,,,
328,ESC,Delta County,Escanaba,MI,598.85,598.85, 951 ,,,,,,,,,,,
329,HYA,Cape Cod Gateway,Hyannis,MA,494.03,494.03, 950 ,,,,,,,,,,,
330,LBF,North Platte Regional Airport Lee Bird Field,North Platte,NE,517.43,517.43, 919 ,,,,,,,,,,,
331,BTM,Bert Mooney,Butte,MT,631.57,631.57, 907 ,,,,,,,,,,,
332,MEI,Key Field,Meridian,MS,551.72,551.72, 844 ,,,,,,,,,,,
333,JST,John Murtha Johnstown-Cambria County,Johnstown,PA,524.46,524.46, 813 ,,,,,,,,,,,
334,CDV,Merle K Mudhole Smith,Cordova,AK,461.08,461.08, 811 ,,,,,,,,,,,
335,VCT,Victoria Regional,Victoria,TX,513.78,513.78, 783 ,,,,,,,,,,,
336,OTH,Southwest Oregon Regional,North Bend/Coos Bay,OR,502.97,502.97, 780 ,,,,,,,,,,,
337,EKO,Elko Regional,Elko,NV,782.66,782.66, 773 ,,,,,,,,,,,
338,SLN,Salina Regional,Salina,KS,489.16,489.16, 764 ,,,,,,,,,,,
339,SMX,Santa Maria Public/Capt. G. Allan Hancock Field,Santa Maria,CA,113.03,113.03, 739 ,,,,,,,,,,,
340,HYS,Hays Regional,Hays,KS,500.92,500.92, 735 ,,,,,,,,,,,
341,CDC,Cedar City Regional,Cedar City,UT,551.40,551.40, 732 ,,,,,,,,,,,
342,APN,Alpena County Regional,Alpena,MI,712.43,712.43, 707 ,,,,,,,,,,,
343,JLN,Joplin Regional,Joplin,MO,477.09,477.09, 681 ,,,,,,,,,,,
344,HIB,Range Regional,Hibbing,MN,682.53,682.53, 660 ,,,,,,,,,,,
345,BFF,Western Neb. Regional/William B. Heilig Field,Scottsbluff,NE,518.75,518.75, 635 ,,,,,,,,,,,
346,WRG,Wrangell Airport,Wrangell,AK,547.05,547.05, 631 ,,,,,,,,,,,
347,EAR,Kearney Regional,Kearney,NE,585.84,585.84, 618 ,,,,,,,,,,,
348,DEC,Decatur Airport,Decatur,IL,442.85,442.85, 596 ,,,,,,,,,,,
349,INL,Falls International Einarson Field,International Falls,MN,663.96,663.96, 580 ,,,,,,,,,,,
350,PRC,Prescott Regional Ernest A Love Field,Prescott,AZ,610.08,610.08, 525 ,,,,,,,,,,,
351,PIR,Pierre Regional,Pierre,SD,716.84,716.84, 507 ,,,,,,,,,,,
352,ALO,Waterloo Regional,Waterloo,IA,509.48,509.48, 493 ,,,,,,,,,,,
353,PIB,Hattiesburg-Laurel Regional,Hattiesburg/Laurel,MS,556.49,556.49, 484 ,,,,,,,,,,,
354,JMS,Jamestown Regional,Jamestown,ND,501.88,501.88, 407 ,,,,,,,,,,,
355,DVL,Devils Lake Regional,Devils Lake,ND,467.49,467.49, 390 ,,,,,,,,,,,
356,DBQ,Dubuque Regional,Dubuque,IA,520.35,520.35, 388 ,,,,,,,,,,,
357,LBL,Liberal Mid-America Regional,Liberal,KS,460.07,460.07, 386 ,,,,,,,,,,,
358,DDC,Dodge City Regional,Dodge City,KS,425.13,425.13, 384 ,,,,,,,,,,,
359,PAH,Barkley Regional,Paducah,KY,695.19,695.19, 376 ,,,,,,,,,,,
360,BFM,Mobile International,Mobile,AL,89.66,89.66, 371 ,,,,,,,,,,,
361,YAK,Yakutat Airport,Yakutat,AK,584.12,584.12, 370 ,,,,,,,,,,,
362,SHD,Shenandoah Valley Regional,Staunton,VA,620.52,620.52, 349 ,,,,,,,,,,,
363,LNS,Lancaster Airport,Lancaster,PA,184.65,184.65, 320 ,,,,,,,,,,,
364,VEL,Vernal Regional,Vernal,UT,573.62,573.62, 303 ,,,,,,,,,,,
365,FOD,Fort Dodge Regional,Fort Dodge,IA,420.45,420.45, 298 ,,,,,,,,,,,
366,BIH,Bishop Airport,Bishop,CA,471.54,471.54, 296 ,,,,,,,,,,,
367,ALS,San Luis Valley Regional/Bergman Field,Alamosa,CO,611.64,611.64, 295 ,,,,,,,,,,,
368,ATY,Watertown Regional,Watertown,SD,509.89,509.89, 281 ,,,,,,,,,,,
369,WYS,Yellowstone,West Yellowstone,MT,412.00,412.00, 259 ,,,,,,,,,,,
370,CVN,Clovis Regional,Clovis,NM,608.78,608.78, 247 ,,,,,,,,,,,
371,CNY,Canyonlands Regional,Moab,UT,447.03,447.03, 241 ,,,,,,,,,,,
372,LWB,Greenbrier Valley,Lewisburg,WV,542.52,542.52, 236 ,,,,,,,,,,,
373,LEB,Lebanon Municipal,Lebanon-Hanover,NH,558.29,558.29, 231 ,,,,,,,,,,,
374,MWA,Veterans Airport of Southern Illinois,Marion/Herrin,IL,533.08,533.08, 227 ,,,,,,,,,,,
375,MCW,Mason City Municipal,Mason City,IA,439.55,439.55, 219 ,,,,,,,,,,,
376,BKW,Raleigh County Memorial,Beckley,WV,663.12,663.12, 206 ,,,,,,,,,,,
377,OGS,Ogdensburg International,Ogdensburg,NY,75.48,75.48, 204 ,,,,,,,,,,,
378,MGW,Morgantown Municipal Walter L Bill Hart Field,Morgantown,WV,569.18,569.18, 201 ,,,,,,,,,,,
379,BHB,Hancock County-Bar Harbor,Bar Harbor,ME,441.48,441.48, 193 ,,,,,,,,,,,
380,TBN,Waynesville-St. Robert Regional Forney Field,Fort Leonard Wood,MO,455.51,455.51, 177 ,,,,,,,,,,,
381,PKB,Mid-Ohio Valley Regional,Parkersburg,WV,640.98,640.98, 174 ,,,,,,,,,,,
382,TEX,Telluride Regional,Telluride,CO,845.97,845.97, 162 ,,,,,,,,,,,
383,AUG,Augusta State,Augusta/Waterville,ME,515.79,515.79, 161 ,,,,,,,,,,,
384,CGI,Cape Girardeau Regional,Cape Girardeau,MO,568.28,568.28, 155 ,,,,,,,,,,,
385,RKD,Knox County Regional,Rockland,ME,541.61,541.61, 152 ,,,,,,,,,,,
386,IWD,Gogebic-Iron County,Ironwood,MI,544.69,544.69, 148 ,,,,,,,,,,,
387,MBL,Manistee County-Blacker,Manistee/Ludington,MI,578.11,578.11, 145 ,,,,,,,,,,,
388,PGA,Page Municipal,Page,AZ,439.52,439.52, 143 ,,,,,,,,,,,
389,IPL,Imperial County,El Centro,CA,412.65,412.65, 141 ,,,,,,,,,,,
390,DUJ,DuBois Regional,DuBois,PA,562.78,562.78, 140 ,,,,,,,,,,,
391,AOO,Altoona-Blair County,Altoona,PA,653.35,653.35, 134 ,,,,,,,,,,,
392,IRK,Kirksville Regional,Kirksville,MO,493.91,493.91, 133 ,,,,,,,,,,,
393,OWB,Owensboro Daviess County Regional,Owensboro,KY,520.95,520.95, 129 ,,,,,,,,,,,
394,LAF,Purdue University,Lafayette,IN,625.31,625.31, 128 ,,,,,,,,,,,
395,TUP,Tupelo Regional,Tupelo,MS,519.17,519.17, 126 ,,,,,,,,,,,
396,RUT,Rutland - Southern Vermont Regional,Rutland,VT,440.68,440.68, 124 ,,,,,,,,,,,
397,MKG,Muskegon County,Muskegon,MI,433.74,433.74, 107 ,,,,,,,,,,,
398,UIN,Quincy Regional-Baldwin Field,Quincy,IL,486.00,486.00, 105 ,,,,,,,,,,,
399,CEZ,Cortez Municipal,Cortez,CO,527.35,527.35, 98 ,,,,,,,,,,,
400,BRL,Southeast Iowa Regional,Burlington,IA,551.89,551.89, 96 ,,,,,,,,,,,
400,TVF,Thief River Falls Regional,Thief River Falls,MN,582.54,582.54, 96 ,,,,,,,,,,,
402,PVC,Provincetown Municipal,Provincetown,MA,520.09,520.09, 94 ,,,,,,,,,,,
403,AIA,Alliance Municipal,Alliance,NE,496.88,496.88, 92 ,,,,,,,,,,,
404,MSL,Northwest Alabama Regional,Muscle Shoals,AL,551.74,551.74, 91 ,,,,,,,,,,,
405,PUB,Pueblo Memorial,Pueblo,CO,344.14,344.14, 86 ,,,,,,,,,,,
405,SLK,Adirondack Regional,Saranac Lake/Lake Placid,NY,547.30,547.30, 86 ,,,,,,,,,,,
407,MCK,McCook Ben Nelson Regional,McCook,NE,469.26,469.26, 67 ,,,,,,,,,,,
407,SDY,Sidney Richland Regional,Sidney,MT,607.33,607.33, 67 ,,,,,,,,,,,
409,HOM,Homer Airport,Homer,AK,918.00,918.00, 66 ,,,,,,,,,,,
410,DUT,Unalaska Airport,Unalaska,AK,1330.46,1330.46, 64 ,,,,,,,,,,,
411,BFD,Bradford Regional,Bradford,PA,473.29,473.29, 62 ,,,,,,,,,,,
411,SOW,Show Low Regional,Show Low,AZ,546.65,546.65, 62 ,,,,,,,,,,,
413,GLH,Greenville Mid Delta,Greenville,MS,648.14,648.14, 61 ,,,,,,,,,,,
414,VQS,Antonio Rivera Rodriguez,Vieques,PR,638.80,638.80, 59 ,,,,,,,,,,,
415,ADK,Adak,Adak Island,AK,1005.17,1005.17, 57 ,,,,,,,,,,,
415,MAZ,Eugenio Maria de Hostos,Mayaguez,PR,505.13,505.13, 57 ,,,,,,,,,,,
417,MSS,Massena International-Richards Field,Massena,NY,511.55,511.55, 52 ,,,,,,,,,,,
418,MKK,Molokai,Hoolehua,HI,326.00,326.00, 39 ,,,,,,,,,,,
418,HOT,Memorial Field,Hot Springs,AR,519.30,519.30, 39 ,,,,,,,,,,,
418,IPT,Williamsport Regional,Williamsport,PA,465.36,465.36, 39 ,,,,,,,,,,,
421,HRO,Boone County,Harrison,AR,489.22,489.22, 30 ,,,,,,,,,,,
422,CDR,Chadron Municipal,Chadron,NE,340.25,340.25, 29 ,,,,,,,,,,,
422,GDV,Dawson Community,Glendive,MT,478.00,478.00, 29 ,,,,,,,,,,,
424,ELD,South Arkansas Regional at Goodwin Field,El Dorado,AR,564.67,564.67, 24 ,,,,,,,,,,,
425,JBR,Jonesboro Municipal,Jonesboro,AR,475.50,475.50, 20 ,,,,,,,,,,,
426,OLF,L. M. Clayton,Wolf Point,MT,246.50,246.50, 19 ,,,,,,,,,,,
427,PDT,Eastern Oregon Regional at Pendleton,Pendleton,OR,598.20,598.20, 17 ,,,,,,,,,,,
427,MKL,McKellar-Sipes Regional,Jackson,TN,667.50,667.50, 17 ,,,,,,,,,,,
429,LNY,Lanai Airport,Lanai,HI,432.57,432.57, 16 ,,,,,,,,,,,
430,CPX,Benjamin Rivera Noriega,Culebra,PR,348.00,348.00, 15 ,,,,,,,,,,,
431,HVR,Havre City-County,Havre,MT,572.33,572.33, 14 ,,,,,,,,,,,
432,GGW,Wokal Field Glasgow Valley County,Glasgow,MT,541.67,541.67, 12 ,,,,,,,,,,,
432,VDZ,Valdez Pioneer Field,Valdez,AK,770.50,770.50, 12 ,,,,,,,,,,,
434,CDB,Cold Bay Airport,Cold Bay,AK,797.00,797.00, 5 ,,,,,,,,,,,
435,KSM,St. Mary's Airport,St. Mary's,AK,861.50,861.50, 2 ,,,,,,,,,,,
435,MCN,Middle Georgia Regional,Macon,GA,300.00,300.00, 2 ,,,,,,,,,,,
435,SNP,St. Paul Island,St. Paul,AK,1776.00,1776.00, 2 ,,,,,,,,,,,
438,SDP,Sand Point,Sandpoint,AK,1362.00,1362.00, 1 ,,,,,,,,,,,
National Average,,,,,397.63,,,,,,,,,,,,,
"Source:  Bureau of Transportation Statistics, Airline Origin & Destination Survey (10% Sample), DB1B_Ticket where bulk fare equals zero, itinerary fare is greater than or equal to fifty dollars ($50) and itinerary yield is less than or equal to three dollars ($3).",,,,,,,,,,,,,,,,,,
"Itinerary Fare:  Average fares are based on domestic itinerary fares, round-trip or one-way for which no return is purchased. Fares are based on the total ticket value which consists of the price charged by the airlines plus any additional taxes and fees levied by an outside entity at the time of purchase. Fares include only the price paid at the time of the ticket purchase and do not include other fees, such as baggage fees, paid at the airport or onboard the aircraft. Averages do not include frequent-flyer or 'zero fares' or a few abnormally high reported fares.  Airports* ranked by U.S. originating domestic passengers in 2024.",,,,,,,,,,,,,,,,,,